,index,city,latitude,location,longitude,post,water,pop
0,0,Bern,46.97100970,aarezufluss_bern_scheurerk,7.45278970,3004,river,134395.0
1,1,Muri bei Bern,46.92357880,Aare_Bern_CaveltiN,7.47331910,3074,river,13187.0
2,2,Bern,46.98936310,Aare_bern_gerberm,7.45209770,3004,river,134395.0
3,3,Bern,46.97096720,aare_bern_scheurerk,7.45258570,3004,river,134395.0
4,4,Brugg,47.49485530,Aare_Brugg_BuchiE,8.23655810,5200,river,11245.0
5,5,Bern,46.93102010,Aare_Elfenau_cataldiv,7.46296050,3006,river,134395.0
6,6,Belp,46.92357190,aare_kehrsatz_stolten,7.48830110,3123,river,11557.0
7,7,Köniz,46.93458850,aare_köniz_hoppej,7.45817030,3084,river,41154.0
8,8,Rupperswil,47.41030900,aare_rupperswil_badert,8.11255370,5102,river,5404.0
9,9,Solothurn,47.19774950,aare_solothurn_nguyena,7.52422470,4500,river,16827.0
10,10,Aarau,47.40566920,aare_suhrespitz_badert,8.06601800,5032,river,21221.0
11,11,Veyrier,46.17849120,arve_carouge_battistellak,6.15431870,1234,river,11557.0
12,12,Berlingen,47.67243120,Berlingen swisslitterreport,9.01105530,8267,lake,889.0
13,13,Vinelz,47.03839840,Bielersee_Vinelz_FankhauserS,7.10831140,3234,lake,855.0
14,14,Birsfelden,47.55774290,Birsköpfli Rusco,7.61729160,4127,river,10566.0
15,15,Basel,47.55112760,Birs_Basel_GrunerN,7.62219880,4052,river,173870.0
16,16,Basel,47.54604970,Birs_basel_läderachs,7.62259810,4052,river,173870.0
17,17,Reinach,47.50368170,Birs_Reinach_DiNucciN,7.60700850,4153,river,18743.0
18,18,Thal,47.48650690,bodensee_altenrhein_caluoria,9.54396640,9422,lake,6495.0
19,19,Arbon,47.52088870,Bodensee_Arbon_MösliS,9.43114400,9320,lake,14426.0
20,20,Horn,47.49827570,bodensee_horn_huberm,9.45697820,9326,lake,2609.0
21,21,Steinach,47.50629920,Bodensee_Steinach_Dolder_A,9.43617140,9323,lake,3600.0
22,22,Thal,47.48621630,bodensee_thal_schlachterj_1,9.54390990,9422,lake,6495.0
23,23,Dübendorf,47.40291950,chriesbach_duebendorf_schneidera,8.60514580,8600,river,28009.0
24,24,Biberist,47.16922080,emme_biberist_jennim,7.55899480,4562,river,8411.0
25,25,Zuchwil,47.21194420,emme_luterbach_huggenbergerk,7.57401440,4528,river,8900.0
26,26,Utzenstorf,47.12369600,Emme_Utzenstorf_Grüttert,7.53962700,3427,river,4262.0
27,27,Opfikon,47.41676910,glatt_oerlikon_covosN,8.56671200,8152,river,20008.0
28,28,Goldach,47.47391110,goldach_goldach_schlachterj,9.45930940,9403,lake,9068.0
29,29,Fällanden,47.36093810,greifensee_fällanden_meistery,8.65372280,8117,lake,8449.0
30,30,Fällanden,47.35971410,greifensee_fällanden_simmenc,8.65484330,8117,lake,8449.0
31,31,Greifensee,47.36357230,greifensee_greifensee_simmenc,8.67569910,8606,lake,5391.0
32,32,Maur,47.33238640,greifensee_maur_simmenc,8.68551460,8124,lake,10097.0
33,33,Uster,47.34743600,greifensee_uster_fischerb_ 2,8.68988050,8610,lake,34436.0
34,34,Uster,47.35012740,greifensee_uster_fischerb_1,8.68979720,8610,lake,34436.0
35,35,Illnau-Effretikon,47.42564910,Grendelbach_Effretikon_DamboneC,8.69070620,8307,lake,16835.0
36,36,Scuol,46.80087600,Inn_Pradella_KohlT,10.31999400,7550,river,4775.0
37,37,Dürnten,47.26842720,jona_tann_nusslin,8.86412510,8635,river,7559.0
38,38,Zürich,47.42847280,katzenbach_zuerich_sanesim,8.51308800,8046,river,410126.0
39,39,Zürich,47.43112810,katzensee_regensdorfzuerichaffoltern_stueberj,8.49292430,8046,lake,410126.0
40,40,Gland,46.40286930,lacléman_gland_kubela,6.28193580,1196,lake,13107.0
41,41,Gland,46.40281060,Lacléman_Gland_LecoanetS,6.28195860,1196,lake,13107.0
42,42,La Tour-de-Peilz,46.45038920,LacLéman_La Tour-de-Peilz_bain des dames_Hammerdirt,6.85823420,1814,lake,11752.0
43,43,Lausanne,46.51831780,lacléman_vidy_santie,6.58960780,1007,lake,140193.0
44,44,Langenthal,47.21653320,langete_langenthal_geiserm,7.79230410,4900,river,15573.0
45,45,Dietikon,47.40798910,limmat_dietikon_keiserp,8.40953980,8953,river,27227.0
46,46,Unterengstringen,47.40940030,Limmat_Unterengstringen_OggierBührer,8.44693340,8103,river,3763.0
47,47,Zürich,47.40002470,Limmat_Zuerich_JansenA,8.48468470,8064,river,410126.0
48,48,Zürich,47.39453930,limmat_zuerich_suterd&glauserp,8.51344350,8005,river,410126.0
49,49,Zürich,47.40349560,Limmat_Zuerich_WagnerC,8.47777010,8064,river,410126.0
50,50,Zürich,47.40025150,limmat_zürich_mortensena_meiera,8.48541100,8064,river,410126.0
51,51,Baar,47.19540190,Lorze_Baar_BlarerE,8.54023700,6340,river,24603.0
52,52,Ostermundigen,46.96494600,lötschebach_bern_scheurerk,7.49283590,3072,river,17197.0
53,53,Steckborn,47.65583660,Mammern swisslitterreport,8.95531680,8266,lake,3777.0
54,54,Wängi,47.49361000,Murg_Waengi_StrickerR,8.96159280,9545,river,4646.0
55,55,Cudrefin,46.96270890,Neuenburgersee_Cudrefin_MatterA,7.02596810,1588,lake,1557.0
56,56,Vevey,46.45994130,Ognonnaz-1,6.85913410,1800,river,20410.0
57,57,Rothrist,47.29856780,Pfaffner_Rothrist_Ischik,7.89946640,4852,river,8968.0
58,58,Bremgarten,47.32986910,Reuss,8.35684930,5626,river,6247.0
59,59,Hünenberg,47.23297550,reuss_hünenberg_eberhardy,8.40101210,6331,river,8891.0
60,60,Merenschwand,47.27835450,reuss_ottenbach_schoenenbergerl,8.39422420,5634,river,3527.0
61,61,Luzern,47.05711180,Reuss_St.Karli_LinigerS/ImhofY,8.28791450,6004,river,82418.0
62,62,Basel,47.55680180,Rhein_Basel,7.60108560,4058,river,173870.0
63,63,Huningue,47.58940620,Rhein_Basel_BlarerP_1,7.58731810,68330,river,173870.0
64,64,Huningue,47.59115100,Rhein_Basel_BlarerP_2,7.58794850,68330,river,173870.0
65,65,Basel,47.55821760,Rhein_Basel_HungerbuehlerN,7.61034880,4058,river,173870.0
66,66,Basel,47.55864390,Rhein_Beach near Tinguely Museum_Bolger. O_Sigrist F.,7.61215360,4058,river,173870.0
67,67,Domat/Ems,46.83803750,rhein_domatems_foppa_f,9.44763870,7013,river,8078.0
68,68,Eglisau,47.57331590,rhein_eglisau_gomringerp,8.53458470,8193,river,5184.0
69,69,Hemishofen,47.67552360,Rhein_Hemishofen_StollL,8.82802920,8261,river,472.0
70,70,Büsingen am Hochrhein,47.69152540,rhein_laag_jungbluthn,8.71721040,78266,river,1358.0
71,71,Düdingen,46.85915140,schiffenensee_duedingen_hirschij,7.17643740,3186,river,7866.0
72,72,Sempach,47.12861810,sempachersee_sempach_tampec,8.19187370,6204,lake,4120.0
73,73,Köniz,46.88312060,Sense_Törishaus_g-cubes,7.35318890,3174,river,41154.0
74,74,Einsiedeln,47.14139380,sihlsee_einsiedeln_schilligerllacherl,8.76035880,8840,lake,15448.0
75,75,Adliswil,47.31242170,Sihl_Adliswil_Oggi_Fort,8.52625490,8134,river,18896.0
76,76,Horgen,47.27269460,Sihl_Horgen_BucherF,8.55368210,8810,river,20369.0
77,77,Zürich,47.32543610,sihl_leimbach_kruegerm,8.51911950,8041,river,410126.0
78,78,Menzingen,47.19150120,Sihl_Menzingen_Kucharska_Magdalena,8.61842140,6313,river,4487.0
79,79,Zürich,47.38189810,sihl_zuerich_eggerskoehlingera,8.53832790,8005,river,410126.0
80,80,Zürich,47.33958830,Sihl_zuerich_eichenbergerD,8.51669650,8041,river,410126.0
81,81,Zürich,47.37314950,Sihl_Zuerich_ScherfS,8.53236980,8001,river,410126.0
82,82,Zürich,47.34305540,sihl_zürich_himmelhebern,8.51861220,8041,river,410126.0
83,83,Sankt Gallen,47.42516090,sitter_gaiserwald_buehlerf,9.34010370,9000,river,76056.0
84,84,Sankt Gallen,47.41024240,Sitter_St.Gallen_JennyA,9.32037600,9014,river,76056.0
85,85,Sankt Gallen,47.43329170,sitter_stgallen_steinbrunnerf ,9.35807470,9000,river,76056.0
86,86,Delémont,47.37098680,sorne_birse_WWFJura,7.36090990,2800,river,12657.0
87,87,Spiez,46.70443680,thunersee_spiez_meierd_1,7.65788240,3646,lake,12756.0
88,88,Kradolf-Schönenberg,47.52407260,Thur_Schoenenberg_SchaerA,9.19833470,9214,river,3554.0
89,89,Wil,47.44678660,thur_schwarzenbach_meiliw,9.06381560,9500,river,17678.0
90,90,Bauma,47.37017570,Töss_Bauma_KurthE,8.86782490,8494,river,4916.0
91,91,Zell,47.45456980,töss_kollbrunn_bürgid,8.77968000,8483,river,5167.0
92,92,Winterthur,47.47870730,Töss_Winterthur 2,8.70842640,8406,river,110443.0
93,93,Ermatingen,47.67263330,unterdsee_ermatingen_brunkem,9.08124620,8272,lake,3311.0
94,94,Selyshche,48.49575410,untersee_steckborn_siedlerm,27.07421580,60216,lake,0.0
95,95,Hundwil,47.32509860,urnaesch_urnaesch_meierr,9.29541880,9107,river,961.0
96,96,Weggis,47.04453210,vierwaldstättersee_weggis_schöberls_1,8.41856890,6353,lake,4421.0
97,97,Weggis,47.04395300,vierwaldstättersee_weggis_schöberls_2,8.41730760,6353,lake,4421.0
98,98,Weggis,47.02995660,vierwaldstättersee_weggis_schöberls_3,8.41080100,6353,lake,4421.0
99,99,Disentis/Mustér,46.69827390,vorderrhein_disentis_schmidn,8.85783730,7180,river,2149.0
100,100,Walenstadt,47.12182820,Walensee_Walenstadt_WyssE,9.29955170,8880,lake,5614.0
101,101,Männedorf,47.25475400,zuerichsee_maennedorf_vanderkaadene,8.68750380,8708,lake,10871.0
102,102,Richterswil,47.21764580,zuerichsee_richterswil_benkoem_2,8.69871330,8805,lake,13392.0
103,103,Stäfa,47.23464310,zuerichsee_staefa_hennm,8.76988140,8713,lake,14329.0
104,104,Richterswil,47.21954680,zuerichsee_waedenswil_colomboc_1,8.69196110,8805,lake,13392.0
105,105,Zürich,47.35395730,zuerichsee_zurich_kullg,8.55047430,8008,lake,410126.0
106,106,Zug,47.17821570,ZugerseeCholler_Cham_BlarerM,8.48001280,6300,lake,30416.0
107,107,Meierskappel,47.10668690,zugersee_Immensee_Guedesd,8.47888120,6344,lake,1378.0
108,108,Steffisburg,46.77424310,zulg_steffisburg_schmassmanne,7.62453720,3612,river,15811.0
109,109,Zürich,47.35939220,Zürichsee-Feldeggstr-BänningerSand,8.54736820,8008,lake,410126.0
110,110,Küsnacht,47.31768490,Zürichsee_Küsnachterhorn_Thirkell-WhiteJ,8.57686020,8700,lake,13283.0
111,111,Zürich,47.34588990,zürichsee_wollishofen_langendorfm,8.53615450,8038,lake,410126.0
