,location,latitude,longitude,city,post,water,pop,area
0,Anarchy Beach,46.447216,6.859612,La Tour-de-Peilz,1814,lake,11752.0,3.24
1,Arabie,46.462099,6.834972,Vevey,1800,lake,20410.0,2.38
2,Bain des Dames,46.4505068,6.8580918,La Tour-de-Peilz,1814,lake,11752.0,3.24
3,Baye de Clarens,46.439787,6.888903,Montreux,1815,lake,26629.0,33.37
4,Baye de Montreux - D,46.430962,6.908673,Montreux,1820,lake,26629.0,33.37
5,Baye de Montreux - G,46.430834,6.908778,Montreux,1820,lake,26629.0,33.37
6,Boiron,46.4910297,6.4801618,Tolochenaz,1131,lake,1866.0,1.59
7,Grand Clos,46.387746,6.843686,Saint-Gingolph,1898,lake,,
8,Jardin Botanique,46.2259088,6.1493572,Genève,1202,lake,201813.0,15.93
9,La Morges,46.504063,6.494099,Morges,1110,lake,15889.0,3.85
10,Le Pierrier,46.439727,6.888968,Montreux,1815,lake,26629.0,33.37
11,Le Port,46.452245,6.85518,La Tour-de-Peilz,1814,lake,11752.0,3.24
12,Maladaire,46.446296,6.87696,La Tour-de-Peilz,1814,lake,11752.0,3.24
13,Oyonne,46.456682,6.852262,La Tour-de-Peilz,1814,lake,11752.0,3.24
14,Parc des Pierrettes,46.515215,6.575531,Saint-Sulpice,1025,lake,4148.0,1.86
15,Pierrier sud,46.4395601,6.8910001,Montreux,1815,lake,26629.0,33.37
16,Plage de Dorigny,46.518169,6.583319,Saint-Sulpice,1025,lake,4148.0,1.86
17,Plage de St Sulpice,46.513265,6.570977,Saint-Sulpice,1025,lake,4148.0,1.86
18,Quai Maria-Belgia,46.460156,6.836718,Vevey,1800,lake,20410.0,2.38
19,Thonnon-les-Bains,46.3653358,6.4469934,Thonon-les-Bains,74200,lake,34973.0,16.21
20,Versoix,46.289194,6.1705693,Versoix,1290,lake,13384.0,10.51
21,Veveyse,46.461022,6.834983,Vevey,1800,lake,20410.0,2.38
22,Vidy,46.5147155,6.5985884,Lausanne,1007,lake,140193.0,41.38
23,Villa Barton,46.22235,6.1525,Genève,1202,lake,201813.0,15.93
