"Hôtellerie: arrivées et nuitées des établissements ouverts dans 100 communes selon l'année, le mois, la commune et la provenance des hôtes"

"Année";"Mois";"Commune";"Nuitées"
"2016";"Janvier";"Montreux";18082
"2016";"Février";"Montreux";21429
"2016";"Mars";"Montreux";29263
"2016";"Avril";"Montreux";35157
"2016";"Mai";"Montreux";43769
"2016";"Juin";"Montreux";44451
"2016";"Juillet";"Montreux";63896
"2016";"Août";"Montreux";60500
"2016";"Septembre";"Montreux";51436
"2016";"Octobre";"Montreux";36518
"2016";"Novembre";"Montreux";27204
"2016";"Décembre";"Montreux";35017
"2017";"Janvier";"Montreux";21818
"2017";"Février";"Montreux";21604
"2017";"Mars";"Montreux";28467
"2017";"Avril";"Montreux";37776
"2017";"Mai";"Montreux";47133
"2017";"Juin";"Montreux";51409
"2017";"Juillet";"Montreux";63675
"2017";"Août";"Montreux";61444
"2017";"Septembre";"Montreux";51818
"2017";"Octobre";"Montreux";38894
"2017";"Novembre";"Montreux";27067
"2017";"Décembre";"Montreux";37307
"2018";"Janvier";"Montreux";21688
"2018";"Février";"Montreux";20629
"2018";"Mars";"Montreux";29470
"2018";"Avril";"Montreux";...
"2018";"Mai";"Montreux";...
"2018";"Juin";"Montreux";...
"2018";"Juillet";"Montreux";...
"2018";"Août";"Montreux";...
"2018";"Septembre";"Montreux";...
"2018";"Octobre";"Montreux";...
"2018";"Novembre";"Montreux";...
"2018";"Décembre";"Montreux";...
