Site,Sample date,Incubation time,Plate number,Dark blue/indigo (E. coli),Med blue (coliform),Pink (Aeromonas),Green/turquoise (Salmonella),Other,ML sampled
MRD,2016-05-07,24,1,0,0,0,0,0,0.4
MRD,2016-05-07,24,2,0,1,0,0,0,0.4
MRD,2016-05-07,24,3,0,1,0,0,0,0.4
MRD,2016-07-12,24,1,22,0,20,0,37,4
MRD,2016-07-12,24,2,17,3,17,4,26,4
MRD,2016-07-12,24,3,12,9,33,7,21,4
MRD,2016-07-19,24,1,8,2,1,1,5,4
MRD,2016-07-19,24,2,16,7,4,0,2,4
MRD,2016-07-19,24,3,20,5,0,0,6,4
MRD,2016-06-21,24,1,2,10,0,0,0,1
MRD,2016-06-21,24,2,0,2,2,2,0,1
MRD,2016-06-21,24,3,0,2,6,1,0,1
MRD,2016-06-28,24,1,0,1,10,1,17,4
MRD,2016-06-28,24,2,0,0,4,1,0,4
MRD,2016-06-28,24,3,1,2,8,1,13,4
MRD,2016-07-26,24,1,0,6,3,0,2,4
MRD,2016-07-26,24,2,0,0,2,0,3,4
MRD,2016-07-26,24,3,25,40,1,5,2,4
MRD,2016-02-08,24,1,0,2,1,0,0,4
MRD,2016-02-08,24,2,1,1,3,0,0,4
MRD,2016-02-08,24,3,1,1,2,1,2,4
MRD,2016-09-08,24,1,0,1,6,1,2,4
MRD,2016-09-08,24,2,0,0,0,0,0,4
MRD,2016-09-08,24,3,0,0,0,3,0,4
SVT,2016-05-07,24,1,2,1,2,0,0,0.4
SVT,2016-05-07,24,2,0,0,0,0,0,0.4
SVT,2016-05-07,24,3,1,0,0,0,5,0.4
SVT,2016-06-21,24,1,0,0,2,0,0,1
SVT,2016-06-21,24,2,0,0,0,0,0,1
SVT,2016-06-21,24,3,1,1,0,0,0,1
SVT,2016-06-28,24,1,0,0,2,0,0,4
SVT,2016-06-28,24,2,0,1,7,0,14,4
SVT,2016-06-28,24,3,0,0,5,0,18,4
SVT,2016-07-19,24,1,7,0,7,0,3,4
SVT,2016-07-19,24,2,15,0,5,0,17,4
SVT,2016-07-19,24,3,17,0,3,0,14,4
SVT,2016-07-12,24,1,32,47,26,9,29,4
SVT,2016-07-12,24,2,36,26,40,13,7,4
SVT,2016-07-12,24,3,33,29,29,10,14,4
SVT,2016-07-26,24,1,2,0,0,0,150,4
SVT,2016-07-26,24,2,0,0,0,0,9,4
SVT,2016-07-26,24,3,0,0,0,0,7,4
SVT,2016-02-08,24,1,1,0,0,0,1,4
SVT,2016-02-08,24,2,0,0,1,0,2,4
SVT,2016-02-08,24,3,0,0,1,0,3,4
SVT,2016-09-08,24,1,1,0,0,0,1,4
SVT,2016-09-08,24,2,2,1,2,0,0,4
SVT,2016-09-08,24,3,1,0,1,0,0,4
VNX,2016-05-07,24,1,0,0,0,0,0,0.4
VNX,2016-05-07,24,2,0,0,1,0,1,0.4
VNX,2016-05-07,24,3,1,0,1,0,0,0.4
VNX,2016-06-21,24,1,0,0,2,0,0,1
VNX,2016-06-21,24,2,0,0,0,0,0,1
VNX,2016-06-21,24,3,0,0,0,0,0,1
VNX,2016-06-28,24,1,2,5,8,1,0,4
VNX,2016-06-28,24,2,0,3,0,0,8,4
VNX,2016-06-28,24,3,8,15,9,4,0,4
VNX,2016-07-19,24,1,27,15,2,1,4,4
VNX,2016-07-19,24,2,11,7,0,0,2,4
VNX,2016-07-19,24,3,3,3,0,0,4,4
VNX,2016-07-12,24,1,5,3,10,1,4,4
VNX,2016-07-12,24,2,2,0,5,0,5,4
VNX,2016-07-12,24,3,7,0,8,0,9,4
VNX,2016-07-26,24,1,0,0,0,0,7,4
VNX,2016-07-26,24,2,0,2,0,0,4,4
VNX,2016-07-26,24,3,1,0,0,0,2,4
VNX,2016-08-02,24,1,3,4,1,0,0,4
VNX,2016-08-02,24,2,2,0,1,0,2,4
VNX,2016-08-02,24,3,2,0,0,0,0,4
VNX,2016-09-08,24,1,2,3,0,1,2,4
VNX,2016-09-08,24,2,13,19,0,9,7,4
VNX,2016-09-08,24,3,14,5,4,0,5,4
